Code,Occupation_Name,Nom_de_la_profession,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
52112,Broadcast technicians,Techniciens/techniciennes en radiotélédiffusion,Balance,À équilibre
52113,Audio and video recording technicians,Techniciens/techniciennes en enregistrement audio et vidéo,Balance,À équilibre
52114,Announcers and other broadcasters,Annonceurs/annonceuses et autres communicateurs/communicatrices,Moderate risk of Surplus,Risque modéré de surplus
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",Moderate risk of Surplus,Risque modéré de surplus
52120,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices,Strong risk of Surplus,Risque important de surplus
52121,Interior designers and interior decorators,Designers d'intérieur et décorateurs/décoratrices d'intérieur,Balance,À équilibre
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries","Registraires, restaurateurs/restauratrices, interprètes et autres travailleurs/travailleuses dans les domaines apparentés des musées et des galeries d'art",Moderate risk of Surplus,Risque modéré de surplus
53110,Photographers,Photographes,Balance,À équilibre
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators","Assistants/assistantes et opérateurs/opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",Strong risk of Surplus,Risque important de surplus
53120,Dancers,Danseurs/danseuses,Balance,À équilibre
53121,"Actors, comedians and circus performers","Acteurs/actrices, comédiens/comédiennes et artistes de cirque",Balance,À équilibre
53122,"Painters, sculptors and other visual artists","Peintres, sculpteurs/sculpteures et autres artistes des arts visuels",Balance,À équilibre
53123,"Theatre, fashion, exhibit and other creative designers","Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques",Balance,À équilibre
53124,Artisans and craftspersons,Artisans/artisanes,Balance,À équilibre
53125,"Patternmakers - textile, leather and fur products",Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure,N/A,N/D
53200,Athletes,Athlètes,Strong risk of Surplus,Risque important de surplus
53201,Coaches,Entraîneurs/entraîneuses,Balance,À équilibre
53202,Sports officials and referees,Arbitres et officiels/officielles de sports,Balance,À équilibre
54100,"Program leaders and instructors in recreation, sport and fitness","Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique",Balance,À équilibre
55109,Other performers,Autres artistes de spectacle,N/A,N/D
60010,Corporate sales managers,Directeurs/directrices des ventes corporatives,Balance,À équilibre
60020,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros,Balance,À équilibre
60030,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,Balance,À équilibre
60031,Accommodation service managers,Directeurs/directrices des services d'hébergement,Balance,À équilibre
60040,Managers in customer and personal services,Directeurs/directrices du service à la clientèle et des services personnels,Balance,À équilibre
62010,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail,Balance,À équilibre
62020,Food service supervisors,Superviseurs/superviseures des services alimentaires,Balance,À équilibre
62021,Executive housekeepers,Gouvernants principaux/gouvernantes principales,Balance,À équilibre
62022,"Accommodation, travel, tourism and related services supervisors","Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",Balance,À équilibre
62023,Customer and information services supervisors,Superviseurs/superviseures des services d'information et des services à la clientèle,Balance,À équilibre
62024,Cleaning supervisors,Surveillants/surveillantes des services de nettoyage,Balance,À équilibre
62029,Other services supervisors,Surveillants/surveillantes des autres services,Balance,À équilibre
62100,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros,Balance,À équilibre
62101,Retail and wholesale buyers,Acheteurs/acheteuses des commerces de détail et de gros,Balance,À équilibre
62200,Chefs,Chefs,Balance,À équilibre
62201,Funeral directors and embalmers,Directeurs/directrices de funérailles et embaumeurs/embaumeuses,Balance,À équilibre
62202,"Jewellers, jewellery and watch repairers and related occupations","Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé",Balance,À équilibre
63100,Insurance agents and brokers,Agents/agentes et courtiers/courtières d'assurance,Moderate risk of Shortage,Risque modéré de pénurie
63101,Real estate agents and salespersons,Agents/agentes et vendeurs/vendeuses en immobilier,Balance,À équilibre
63102,Financial sales representatives,Représentants/représentantes des ventes financières,Balance,À équilibre
63200,Cooks,Cuisiniers/cuisinières,Moderate risk of Shortage,Risque modéré de pénurie
63201,Butchers - retail and wholesale,Bouchers/bouchères - commerce de gros et de détail,Moderate risk of Shortage,Risque modéré de pénurie
63202,Bakers,Boulangers-pâtissiers/boulangères-pâtissières,Balance,À équilibre
63210,Hairstylists and barbers,Coiffeurs/coiffeuses et barbiers,Balance,À équilibre
63211,"Estheticians, electrologists and related occupations","Esthéticiens/esthéticiennes, électrolystes et personnel assimilé",Balance,À équilibre
63220,Shoe repairers and shoemakers,Cordonniers/cordonnières et fabricants/fabricantes de chaussures,N/A,N/D
63221,Upholsterers,Tapissiers-garnisseurs/tapissières-garnisseuses,Balance,À équilibre
64100,Retail salespersons and visual merchandisers,Vendeurs/vendeuses et décorateurs-étalagistes/décoratrices-étalagistes en commerce de détail,Balance,À équilibre
64101,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique),Balance,À équilibre
64200,"Tailors, dressmakers, furriers and milliners","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes",Balance,À équilibre
64201,"Image, social and other personal consultants","Conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés",Balance,À équilibre
64300,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel et hôtes/hôtesses,Balance,À équilibre
64301,Bartenders,Barmans/barmaids,Balance,À équilibre
64310,Travel counsellors,Conseillers/conseillères en voyages,Balance,À équilibre
64311,Pursers and flight attendants,Commissaires et agents/agentes de bord,Balance,À équilibre
64312,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens,Balance,À équilibre
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks","Agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",Balance,À équilibre
64314,Hotel front desk clerks,Réceptionnistes d'hôtel,Balance,À équilibre
64320,Tour and travel guides,Guides touristiques et guides itinérants/guides itinérantes,Balance,À équilibre
64321,Casino workers,Travailleurs/travailleuses dans les casinos,Balance,À équilibre
64322,Outdoor sport and recreational guides,Guides d'activités récréatives et sportives de plein air,Balance,À équilibre
64400,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières,Balance,À équilibre
64401,Postal services representatives,Représentants/représentantes des services postaux,Moderate risk of Shortage,Risque modéré de pénurie
64409,Other customer and information services representatives,Autres préposés/préposées aux services d'information et aux services à la clientèle,Balance,À équilibre
64410,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité,Balance,À équilibre
65100,Cashiers,Caissiers/caissières,Balance,À équilibre
65101,Service station attendants,Préposés/préposées de stations-service,Balance,À équilibre
65102,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins",Balance,À équilibre
65109,Other sales related occupations,Autre personnel assimilé des ventes,Balance,À équilibre
65200,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons,Balance,À équilibre
65201,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",Balance,À équilibre
65202,Meat cutters and fishmongers – retail and wholesale,Coupeurs/coupeuses de viande et poissonniers/poissonnières – commerce de gros et de détail,Balance,À équilibre
65210,"Support occupations in accommodation, travel and facilities set-up services","Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",Balance,À équilibre
65211,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions",Balance,À équilibre
65220,Pet groomers and animal care workers,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux,Balance,À équilibre
65229,Other support occupations in personal services,Autres professions de soutien dans les services personnels,Balance,À équilibre
65310,Light duty cleaners,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers,Balance,À équilibre
65311,Specialized cleaners,Nettoyeurs spécialisés/nettoyeuses spécialisées,Balance,À équilibre
65312,"Janitors, caretakers and heavy-duty cleaners",Concierges et nettoyeurs/nettoyeuses – gros travaux,Balance,À équilibre
65320,"Dry cleaning, laundry and related occupations",Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,Balance,À équilibre
65329,Other service support occupations,Autre personnel de soutien en service,Balance,À équilibre
70010,Construction managers,Directeurs/directrices de la construction,Moderate risk of Shortage,Risque modéré de pénurie
70011,Home building and renovation managers,Gestionnaires en construction et rénovation domiciliaire,Moderate risk of Shortage,Risque modéré de pénurie
70012,Facility operation and maintenance managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,Balance,À équilibre
70020,Managers in transportation,Directeurs/directrices des transports,Balance,À équilibre
70021,Postal and courier services managers,Directeurs/directrices des services postaux et de messageries,Balance,À équilibre
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",Balance,À équilibre
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications,Balance,À équilibre
72012,"Contractors and supervisors, pipefitting trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie,Balance,À équilibre
72013,"Contractors and supervisors, carpentry trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie,Balance,À équilibre
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,Balance,À équilibre
72020,"Contractors and supervisors, mechanic trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique,Balance,À équilibre
72021,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd,Balance,À équilibre
72022,"Supervisors, printing and related occupations",Surveillants/surveillantes de l'imprimerie et du personnel assimilé,Balance,À équilibre
72023,"Supervisors, railway transport operations",Surveillants/surveillantes des opérations du transport ferroviaire,Balance,À équilibre
72024,"Supervisors, motor transport and other ground transit operators",Surveillants/surveillantes du transport routier et du transport en commun,Balance,À équilibre
72025,"Supervisors, mail and message distribution occupations",Superviseurs/superviseures de services postaux et de messageries,Balance,À équilibre
72100,Machinists and machining and tooling inspectors,Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage,Moderate risk of Shortage,Risque modéré de pénurie
72101,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses,Balance,À équilibre
72102,Sheet metal workers,Tôliers/tôlières,Moderate risk of Shortage,Risque modéré de pénurie
72103,Boilermakers,Chaudronniers/chaudronnières,Balance,À équilibre
72104,Structural metal and platework fabricators and fitters,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques,Balance,À équilibre
72105,Ironworkers,Monteurs/monteuses de charpentes métalliques,Balance,À équilibre
72106,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser,Moderate risk of Shortage,Risque modéré de pénurie
72200,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques),Moderate risk of Shortage,Risque modéré de pénurie
72201,Industrial electricians,Électriciens industriels/électriciennes industrielles,Moderate risk of Shortage,Risque modéré de pénurie
72202,Power system electricians,Électriciens/électriciennes de réseaux électriques,Balance,À équilibre
72203,Electrical power line and cable workers,Monteurs/monteuses de lignes électriques et de câbles,Balance,À équilibre
72204,Telecommunications line and cable installers and repairers,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications,Balance,À équilibre
72205,Telecommunications equipment installation and cable television service technicians,Techniciens/techniciennes en installation de matériel de télécommunication et en services de câblodistribution,Balance,À équilibre
72300,Plumbers,Plombiers/plombières,Moderate risk of Shortage,Risque modéré de pénurie
72301,"Steamfitters, pipefitters and sprinkler system installers","Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs",Balance,À équilibre
72302,Gas fitters,Monteurs/monteuses d'installations au gaz,Moderate risk of Shortage,Risque modéré de pénurie
72310,Carpenters,Charpentiers-menuisiers/charpentières-menuisières,Strong risk of Shortage,Risque important de pénurie
72311,Cabinetmakers,Ébénistes,Moderate risk of Shortage,Risque modéré de pénurie
72320,Bricklayers,Briqueteurs-maçons/briqueteuses-maçonnes,Moderate risk of Shortage,Risque modéré de pénurie
72321,Insulators,Calorifugeurs/calorifugeuses,Balance,À équilibre
72400,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles,Moderate risk of Shortage,Risque modéré de pénurie
72401,Heavy-duty equipment mechanics,Mécaniciens/mécaniciennes d'équipement lourd,Strong risk of Shortage,Risque important de pénurie
72402,"Heating, refrigeration and air conditioning mechanics","Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation",Strong risk of Shortage,Risque important de pénurie
72403,Railway carmen/women,Réparateurs/réparatrices de wagons,Balance,À équilibre
72404,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs,Moderate risk of Shortage,Risque modéré de pénurie
72405,Machine fitters,Ajusteurs/ajusteuses de machines,N/A,N/D
72406,Elevator constructors and mechanics,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs,Balance,À équilibre
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus",Moderate risk of Shortage,Risque modéré de pénurie
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators","Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages",Balance,À équilibre
72420,Oil and solid fuel heating mechanics,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides,Balance,À équilibre
72421,Appliance servicers and repairers,Réparateurs/réparatrices et préposés/préposées à l'entretien d'appareils,Balance,À équilibre
72422,Electrical mechanics,Électromécaniciens/électromécaniciennes,Moderate risk of Shortage,Risque modéré de pénurie
72423,"Motorcycle, all-terrain vehicle and other related mechanics","Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",Balance,À équilibre
72429,Other small engine and small equipment repairers,Autres réparateurs/réparatrices de petits moteurs et de petits équipements,Balance,À équilibre
72500,Crane operators,Grutiers/grutières,Balance,À équilibre
72501,Water well drillers,Foreurs/foreuses de puits d'eau,Moderate risk of Shortage,Risque modéré de pénurie
72600,"Air pilots, flight engineers and flying instructors","Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien",Strong risk of Shortage,Risque important de pénurie
72601,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé,Balance,À équilibre
72602,"Deck officers, water transport",Officiers/officières de pont du transport par voies navigables,Balance,À équilibre
72603,"Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables,Balance,À équilibre
72604,Railway traffic controllers and marine traffic regulators,Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime,N/A,N/D
72999,Other technical trades and related occupations,Autres métiers techniques et personnel assimilé,Moderate risk of Shortage,Risque modéré de pénurie
73100,Concrete finishers,Finisseurs/finisseuses de béton,Moderate risk of Shortage,Risque modéré de pénurie
73101,Tilesetters,Carreleurs/carreleuses,Balance,À équilibre
73102,"Plasterers, drywall installers and finishers and lathers","Plâtriers/plâtrières, poseurs/poseuses et finisseurs/finisseuses de systèmes intérieurs et latteurs/latteuses",Balance,À équilibre
73110,Roofers and shinglers,Couvreurs/couvreuses et poseurs/poseuses de bardeaux,Moderate risk of Shortage,Risque modéré de pénurie
73111,Glaziers,Vitriers/vitrières,Balance,À équilibre
73112,Painters and decorators (except interior decorators),Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur),Moderate risk of Shortage,Risque modéré de pénurie
73113,Floor covering installers,Poseurs/poseuses de revêtements d'intérieur,Moderate risk of Shortage,Risque modéré de pénurie
73200,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",Balance,À équilibre
73201,General building maintenance workers and building superintendents,Préposés à l’entretien général et surintendants/surintendantes,Balance,À équilibre
73202,Pest controllers and fumigators,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine,Balance,À équilibre
73209,Other repairers and servicers,Autres réparateurs/réparatrices et préposés/préposées à l'entretien,Balance,À équilibre
73300,Transport truck drivers,Conducteurs/conductrices de camions de transport,Moderate risk of Shortage,Risque modéré de pénurie
73301,"Bus drivers, subway operators and other transit operators",Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en commun,Balance,À équilibre
73310,Railway and yard locomotive engineers,Mécaniciens/mécaniciennes de locomotive et de cour de triage,Balance,À équilibre
73311,Railway conductors and brakemen/women,Chefs de train et serre-freins,Balance,À équilibre
73400,Heavy equipment operators,Conducteurs/conductrices d'équipement lourd,Balance,À équilibre
73401,Printing press operators,Opérateurs/opératrices de presses à imprimer,Balance,À équilibre
73402,"Drillers and blasters - surface mining, quarrying and construction","Foreurs/foreuses et dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",Balance,À équilibre
74100,Mail and parcel sorters and related occupations,Trieurs/trieuses de courrier et de colis et professions connexes,Balance,À équilibre
74101,Letter carriers,Facteurs/factrices,Balance,À équilibre
74102,Couriers and messengers,Messagers/messagères,Balance,À équilibre
74200,Railway yard and track maintenance workers,Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée,Balance,À équilibre
74201,Water transport deck and engine room crew,Matelots de pont et matelots de salle des machines du transport par voies navigables,Moderate risk of Shortage,Risque modéré de pénurie
74202,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien,Balance,À équilibre
74203,Automotive and heavy truck and equipment parts installers and servicers,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds,Balance,À équilibre
74204,Utility maintenance workers,Personnel d'entretien des services publics,Balance,À équilibre
74205,Public works maintenance equipment operators and related workers,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé,Balance,À équilibre
75100,Longshore workers,Débardeurs/débardeuses,Moderate risk of Surplus,Risque modéré de surplus
75101,Material handlers,Manutentionnaires,Balance,À équilibre
75110,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction,Moderate risk of Shortage,Risque modéré de pénurie
75119,Other trades helpers and labourers,Autres manoeuvres et aides de soutien de métiers,Balance,À équilibre
75200,Taxi and limousine drivers and chauffeurs,"Chauffeurs/chauffeuses de taxi, chauffeurs/chauffeuses de limousine et chauffeurs/chauffeuses",Balance,À équilibre
75201,Delivery service drivers and door-to-door distributors,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte,Balance,À équilibre
75210,Boat and cable ferry operators and related occupations,"Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé",Balance,À équilibre
75211,Railway and motor transport labourers,Manoeuvres dans le transport ferroviaire et routier,Balance,À équilibre
75212,Public works and maintenance labourers,Manoeuvres à l'entretien des travaux publics,Balance,À équilibre
80010,Managers in natural resources production and fishing,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche,Balance,À équilibre
80020,Managers in agriculture,Gestionnaires en agriculture,Balance,À équilibre
80021,Managers in horticulture,Gestionnaires en horticulture,Balance,À équilibre
80022,Managers in aquaculture,Gestionnaires en aquaculture,N/A,N/D
82010,"Supervisors, logging and forestry",Surveillants/surveillantes de l'exploitation forestière,Balance,À équilibre
82020,"Supervisors, mining and quarrying",Surveillants/surveillantes de l'exploitation des mines et des carrières,Balance,À équilibre
82021,"Contractors and supervisors, oil and gas drilling and services",Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,Moderate risk of Shortage,Risque modéré de pénurie
82030,Agricultural service contractors and farm supervisors,Entrepreneurs/entrepreneuses de services agricoles et surveillants/surveillantes d'exploitations agricoles,Balance,À équilibre
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",Balance,À équilibre
83100,Underground production and development miners,"Mineurs/mineuses d'extraction et de préparation, mines souterraines",Balance,À équilibre
83101,"Oil and gas well drillers, servicers, testers and related workers",Foreurs/foreuses et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz,Balance,À équilibre
83110,Logging machinery operators,Conducteurs/conductrices de machines d'abattage d'arbres,Balance,À équilibre
83120,Fishing masters and officers,Capitaines et officiers/officières de bâtiments de pêche,N/A,N/D
83121,Fishermen/women,Pêcheurs indépendants/pêcheuses indépendantes,Balance,À équilibre
84100,Underground mine service and support workers,Travailleurs/travailleuses d'entretien et de soutien des mines souterraines,Balance,À équilibre
84101,Oil and gas well drilling and related workers and services operators,Travailleurs/travailleuses du forage et de l'entretien des puits de pétrole et de gaz et personnel assimilé,Balance,À équilibre
84110,Chain saw and skidder operators,Opérateurs/opératrices de scies à chaîne et d'engins de débardage,Balance,À équilibre
84111,Silviculture and forestry workers,Ouvriers/ouvrières en sylviculture et en exploitation forestière,Moderate risk of Surplus,Risque modéré de surplus
84120,Specialized livestock workers and farm machinery operators,Ouvriers spécialisés/ouvrières spécialisées dans l’élevage et opérateurs/opératrices de machineries agricoles,Strong risk of Shortage,Risque important de pénurie
84121,Fishing vessel deckhands,Matelots de pont sur les bâtiments de pêche,Balance,À équilibre
85100,Livestock labourers,Manoeuvres aux soins du bétail,Strong risk of Shortage,Risque important de pénurie
85101,Harvesting labourers,Manoeuvres à la récolte,Strong risk of Shortage,Risque important de pénurie
85102,Aquaculture and marine harvest labourers,Manoeuvres de l'aquaculture et de la mariculture,Balance,À équilibre
85103,Nursery and greenhouse labourers,Manoeuvres de pépinières et de serres,Moderate risk of Shortage,Risque modéré de pénurie
85104,Trappers and hunters,Trappeurs/trappeuses et chasseurs/chasseuses,N/A,N/D
85110,Mine labourers,Manoeuvres des mines,Moderate risk of Shortage,Risque modéré de pénurie
85111,"Oil and gas drilling, servicing and related labourers","Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé",Balance,À équilibre
85120,Logging and forestry labourers,Manoeuvres de l'exploitation forestière,Balance,À équilibre
85121,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains,Balance,À équilibre
90010,Manufacturing managers,Directeurs/directrices de la fabrication,Balance,À équilibre
90011,Utilities managers,Directeurs/directrices des services d'utilité publique,Balance,À équilibre
92010,"Supervisors, mineral and metal processing",Surveillants/surveillantes dans la transformation des métaux et des minerais,Balance,À équilibre
92011,"Supervisors, petroleum, gas and chemical processing and utilities","Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique",Balance,À équilibre
92012,"Supervisors, food and beverage processing",Surveillants/surveillantes dans la transformation des aliments et des boissons,Balance,À équilibre
92013,"Supervisors, plastic and rubber products manufacturing",Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique,Balance,À équilibre
92014,"Supervisors, forest products processing",Surveillants/surveillantes dans la transformation des produits forestiers,Balance,À équilibre
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","Surveillants/surveillantes dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",Balance,À équilibre
92020,"Supervisors, motor vehicle assembling",Surveillants/surveillantes dans la fabrication de véhicules automobiles,Balance,À équilibre
92021,"Supervisors, electronics and electrical products manufacturing",Surveillants/surveillantes dans la fabrication de matériel électronique et d'appareils électriques,Balance,À équilibre
92022,"Supervisors, furniture and fixtures manufacturing",Surveillants/surveillantes dans la fabrication de meubles et d'accessoires,Balance,À équilibre
92023,"Supervisors, other mechanical and metal products manufacturing",Surveillants/surveillantes dans la fabrication d'autres produits métalliques et de pièces mécaniques,Balance,À équilibre
92024,"Supervisors, other products manufacturing and assembly",Surveillants/surveillantes dans la fabrication et le montage de produits divers,Balance,À équilibre
92100,Power engineers and power systems operators,Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux électriques,Balance,À équilibre
92101,Water and waste treatment plant operators,Opérateurs/opératrices d'installations du traitement de l'eau et des déchets,Balance,À équilibre
93100,"Central control and process operators, mineral and metal processing",Opérateurs/opératrices de poste central de contrôle et de conduite de procédés industriels dans le traitement des métaux et des minerais,N/A,N/D
93101,"Central control and process operators, petroleum, gas and chemical processing",Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques,Balance,À équilibre
93102,"Pulping, papermaking and coating control operators","Opérateurs/opératrices au contrôle de la réduction en pâte des pâtes et papiers, de la fabrication du papier et du couchage",N/A,N/D
93200,Aircraft assemblers and aircraft assembly inspectors,Monteurs/monteuses d'aéronefs et contrôleurs/contrôleuses de montage d'aéronefs,Balance,À équilibre
94100,"Machine operators, mineral and metal processing",Opérateurs/opératrices de machines dans le traitement des métaux et des minerais,Balance,À équilibre
94101,Foundry workers,Ouvriers/ouvrières de fonderies,N/A,N/D
94102,Glass forming and finishing machine operators and glass cutters,Opérateurs/opératrices de machines à former et à finir le verre et coupeurs/coupeuses de verre,N/A,N/D
94103,"Concrete, clay and stone forming operators","Opérateurs/opératrices de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",Balance,À équilibre
94104,"Inspectors and testers, mineral and metal processing",Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais,Balance,À équilibre
94105,Metalworking and forging machine operators,Opérateurs/opératrices de machines à forger et à travailler les métaux,Balance,À équilibre
94106,Machining tool operators,Opérateurs/opératrices de machines d'usinage,Balance,À équilibre
94107,Machine operators of other metal products,Opérateurs/opératrices de machines d'autres produits métalliques,Balance,À équilibre
94110,Chemical plant machine operators,Opérateurs/opératrices d'installations de traitement des produits chimiques,Balance,À équilibre
94111,Plastics processing machine operators,Opérateurs/opératrices de machines de traitement des matières plastiques,Balance,À équilibre
94112,Rubber processing machine operators and related workers,Opérateurs/opératrices de machines de transformation du caoutchouc et personnel assimilé,Balance,À équilibre
94120,Sawmill machine operators,Opérateurs/opératrices de machines à scier dans les scieries,Balance,À équilibre
94121,"Pulp mill, papermaking and finishing machine operators",Opérateurs/opératrices de machines dans la fabrication et la finition du papier dans les usines de pâte à papier,Balance,À équilibre
94122,Paper converting machine operators,Opérateurs/opératrices de machines à façonner le papier,Strong risk of Shortage,Risque important de pénurie
94123,Lumber graders and other wood processing inspectors and graders,Classeurs/classeuses de bois d'oeuvre et autres vérificateurs/vérificatrices et classeurs/classeuses dans la transformation du bois,Balance,À équilibre
94124,Woodworking machine operators,Opérateurs/opératrices de machines à travailler le bois,Balance,À équilibre
94129,Other wood processing machine operators,Autres opérateurs/opératrices de machines dans la transformation du bois,Balance,À équilibre
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Opérateurs/opératrices de machines et travailleurs/travailleuses de traitement des fibres et des fils textiles, du cuir et des peaux",Balance,À équilibre
