Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Future_Labour_Market_Conditions
32110,Denturists,Denturologistes,2000,200,600,200,1000,500,100,300,1000,Balance,Balance
32111,Dental hygienists and dental therapists,Hygiénistes et thérapeutes dentaires,33900,10000,3800,2100,15900,14600,1100,0,15700,Strong signs of Shortage,Strong risk of Shortage
32112,Dental technologists and technicians,Technologues et techniciens/techniciennes dentaires,6400,700,1400,500,2600,1700,1200,-100,2800,Balance,Balance
32120,Medical laboratory technologists,Technologues de laboratoires médicaux,24300,7300,6300,1500,15100,8200,1200,5600,15100,Strong signs of Shortage,Strong risk of Shortage
32121,Medical radiation technologists,Technologues en radiation médicale,28100,8100,5400,1600,15200,13500,700,900,15100,Strong signs of Shortage,Strong risk of Shortage
32122,Medical sonographers,Technologues en échographie,9600,2800,2200,600,5600,5600,400,100,6100,Strong signs of Shortage,Moderate risk of Shortage
32123,Cardiology technologists and electrophysiological diagnostic technologists,Technologues en cardiologie et technologues en électrophysiologie diagnostique,5600,1600,1100,400,3100,1700,200,0,1800,Strong signs of Shortage,Strong risk of Shortage
32124,Pharmacy technicians,Techniciens/techniciennes en pharmacie,32600,6400,5600,1800,13800,11100,2300,600,14000,Moderate signs of Shortage,Moderate risk of Shortage
32129,Other medical technologists and technicians,Autres technologues et techniciens/techniciennes des sciences de la santé,7300,800,1200,400,2400,2300,1100,-1000,2500,Moderate signs of Shortage,Moderate risk of Shortage
32200,Traditional Chinese medicine practitioners and acupuncturists,Praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs/acupunctrices,8100,2300,1900,700,5000,800,3600,-400,4000,Balance,Balance
32201,Massage therapists,Massothérapeutes,45000,12700,6100,2700,21500,11900,2500,7800,22200,Moderate signs of Shortage,Moderate risk of Shortage
32209,Other practitioners of natural healing,Autres praticiens/praticiennes des médecines douces,4700,900,1600,400,2800,1000,700,400,2100,Balance,Balance
33100,Dental assistants and dental laboratory assistants,Assistants/assistantes dentaires et auxiliaires dans les laboratoires dentaires,38000,11200,5000,2000,18300,20100,5500,-7400,18200,Balance,Balance
33101,Medical laboratory assistants and related technical occupations,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés,33400,9000,5500,1800,16300,11100,2600,2800,16500,Strong signs of Shortage,Strong risk of Shortage
33102,"Nurse aides, orderlies and patient service associates","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires",296900,85100,73800,18600,177400,75700,63000,34000,172700,Strong signs of Shortage,Strong risk of Shortage
33103,Pharmacy technical assistants and pharmacy assistants,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie,33900,7600,5400,1600,14600,14400,5900,-6700,13600,Moderate signs of Shortage,Moderate risk of Shortage
33109,Other assisting occupations in support of health services,Autre personnel de soutien des services de santé,32000,10500,6100,1900,18600,11400,2900,3900,18200,Balance,Balance
40010,Government managers - health and social policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,7800,1000,2700,500,4200,300,200,3600,4100,Balance,Balance
40011,"Government managers - economic analysis, policy development and program administration","Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",12700,700,3600,800,5200,300,400,4600,5400,Balance,Balance
40012,Government managers - education policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40019,Other managers in public administration,Autres gestionnaires de la fonction publique,32300,5900,10800,2000,18700,1300,200,12400,13900,Balance,Balance
40020,Administrators - post-secondary education and vocational training,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle,17000,1500,6300,1200,9000,800,1700,6500,9000,Balance,Balance
40021,School principals and administrators of elementary and secondary education,Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,39500,1300,12400,2600,16300,900,700,14800,16400,Balance,Balance
40030,"Managers in social, community and correctional services","Directeurs/directrices des services sociaux, communautaires et correctionnels",46700,3900,12100,3100,19100,2500,2700,7100,12300,Balance,Balance
40040,Commissioned police officers and related occupations in public protection services,Officiers/officières de direction des services de police et professions connexes des services de la protection du public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
40041,Fire chiefs and senior firefighting officers,Chefs et officiers supérieurs/officières supérieures des services d'incendie,2700,500,1000,200,1600,0,0,1600,1700,Balance,Balance
40042,Commissioned officers of the Canadian Armed Forces,Officiers/officières de direction des Forces armées canadiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
41100,Judges,Juges,4100,400,1900,500,2800,200,0,2800,2900,Balance,Balance
41101,Lawyers and Quebec notaries,Avocats/avocates (partout au Canada) et notaires (au Québec),124300,15900,17400,8000,41300,59900,4000,-9100,54800,Balance,Balance
41200,University professors and lecturers,Professeurs/professeures et chargés/chargées de cours au niveau universitaire,86000,9700,21700,6200,37600,19600,17700,7100,44400,Balance,Balance
41201,Post-secondary teaching and research assistants,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire,84200,11300,4200,2600,18000,34000,11900,-19700,26300,Balance,Balance
41210,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,131100,16300,35500,8800,60600,30400,11800,33700,76000,Balance,Balance
41220,Secondary school teachers,Enseignants/enseignantes au niveau secondaire,175100,19900,45000,10200,75000,51600,5300,13300,70200,Moderate signs of Shortage,Moderate risk of Shortage
41221,Elementary school and kindergarten teachers,Enseignants/enseignantes aux niveaux primaire et préscolaire,337300,38300,75000,18500,131800,122000,9900,7200,139000,Moderate signs of Shortage,Moderate risk of Shortage
41300,Social workers,Travailleurs sociaux/travailleuses sociales,77500,15900,7700,4100,27600,34300,3000,-9900,27400,Strong signs of Shortage,Strong risk of Shortage
41301,Therapists in counselling and related specialized therapies,Thérapeutes en counseling et thérapies spécialisées connexes,69900,15200,13500,4600,33300,28000,4500,1500,33900,Moderate signs of Shortage,Moderate risk of Shortage
41302,Religious leaders,Chefs religieux,22300,1500,11700,2100,15300,2600,3200,9500,15400,Balance,Balance
41310,Police investigators and other investigative occupations,Enquêteurs/enquêteuses de police et autres professions d'enquête,11900,1600,1500,600,3800,1700,100,2000,3800,Balance,Balance
41311,Probation and parole officers,Agents/agentes de probation et de libération conditionnelle,7600,400,1500,400,2400,2400,100,-100,2400,Balance,Balance
41320,Educational counsellors,Conseillers/conseillères en information scolaire,24500,4500,6600,1500,12600,6500,2100,3600,12200,Balance,Balance
41321,Career development practitioners and career counsellors (except education),Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation),20900,1600,6200,1400,9200,6500,1800,1100,9400,Balance,Balance
41400,"Natural and applied science policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées",37800,7400,6800,2100,16300,18400,3900,-6200,16100,Balance,Balance
41401,Economists and economic policy researchers and analysts,"Économistes, recherchistes et analystes des politiques économiques",20100,2200,3400,1200,6800,11400,4400,-9000,6800,Balance,Balance
41402,Business development officers and market researchers and analysts,Agents/agentes de développement économique et recherchistes et analystes en marketing,33700,4200,8700,1800,14700,16600,8300,-9600,15400,Balance,Balance
41403,"Social policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales",80400,10100,15300,4400,29800,33900,9300,-13700,29400,Balance,Balance
41404,"Health policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé",45100,9200,8600,2500,20400,18700,4500,-2900,20400,Balance,Balance
41405,"Education policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement",32200,5900,8300,2200,16400,9100,3200,4300,16700,Balance,Balance
41406,"Recreation, sports and fitness policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique",9300,1500,1300,500,3300,5600,600,-2800,3400,Balance,Balance
41407,Program officers unique to government,Agents/agentes de programmes propres au gouvernement,10700,600,2800,700,4100,3500,400,1000,4900,Balance,Balance
41409,Other professional occupations in social science,Autres professionnels/professionnelles des sciences sociales,3700,-100,1100,300,1300,1500,300,-300,1500,Balance,Balance
42100,Police officers (except commissioned),Policiers/policières (sauf cadres supérieurs),79800,4300,21400,4100,29800,23000,800,5600,29400,Moderate signs of Shortage,Moderate risk of Shortage
42101,Firefighters,Pompiers/pompières,39800,2100,11500,2300,15900,8000,200,6000,14200,Moderate signs of Shortage,Moderate risk of Shortage
42102,Specialized members of the Canadian Armed Forces,Membres spécialisés des Forces armées canadiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42200,Paralegals and related occupations,Techniciens/techniciennes juridiques et personnel assimilé,36000,7200,9300,2200,18700,15900,3400,-1100,18200,Balance,Balance
42201,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires,155600,24800,22600,8000,55400,68100,12600,-27300,53500,Strong signs of Shortage,Strong risk of Shortage
42202,Early childhood educators and assistants,Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance,246800,110100,38000,14300,162400,80100,28900,50800,159900,Strong signs of Shortage,Strong risk of Shortage
42203,Instructors of persons with disabilities,Instructeurs/instructrices pour personnes ayant une déficience,7100,400,1000,400,1800,1800,200,-500,1500,Moderate signs of Shortage,Moderate risk of Shortage
42204,Religion workers,Travailleurs/travailleuses de la religion,6500,0,2100,600,2700,1600,800,200,2700,Balance,Balance
43100,Elementary and secondary school teacher assistants,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire,105300,6600,24100,6500,37200,23400,6400,9700,39400,Moderate signs of Shortage,Moderate risk of Shortage
43109,Other instructors,Autres instructeurs/instructrices,31900,5000,7100,1800,13900,6000,3400,4100,13500,Balance,Balance
43200,Sheriffs and bailiffs,Shérifs et huissiers/huissières de justice,3400,200,1100,200,1600,700,100,800,1600,Balance,Balance
43201,Correctional service officers,Agents/agentes de services correctionnels,26100,1900,4700,1400,8000,7800,900,-900,7800,Balance,Balance
43202,By-law enforcement and other regulatory officers,Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementation,11000,2000,2500,700,5200,3200,400,2100,5700,Balance,Balance
43203,"Border services, customs, and immigration officers","Agents/agentes de services frontaliers, des douanes et de l'immigration",14700,900,3200,800,4900,4200,1000,-100,5100,Balance,Balance
43204,Operations Members of the Canadian Armed Forces,Membres des opérations des Forces armées canadiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44100,Home child care providers,Gardiens/gardiennes d'enfants en milieu familial,19900,1800,3200,1400,6400,3600,5600,-3100,6100,Balance,Balance
44101,"Home support workers, caregivers and related occupations","Aides de maintien à domicile, aides familiaux/familiales et personnel assimilé",67400,2700,18600,4900,26200,12400,16400,-4100,24600,Strong signs of Shortage,Strong risk of Shortage
44200,Primary combat members of the Canadian Armed Forces,Combattants/combattantes de première ligne des Forces armées canadiennes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45100,"Student monitors, crossing guards and related occupations","Surveillants/surveillantes d’élèves, brigadiers/brigadières et autres professions connexes",19300,1400,6000,1600,9100,3000,1500,4600,9100,Balance,Balance
50010,"Library, archive, museum and art gallery managers","Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art",3300,300,1000,300,1600,100,200,1200,1600,Balance,Balance
50011,"Managers - publishing, motion pictures, broadcasting and performing arts","Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène",5600,100,1900,400,2500,300,700,1400,2400,Moderate signs of Surplus,Moderate risk of Surplus
50012,"Recreation, sports and fitness program and service directors","Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique",5800,1000,1100,400,2600,200,300,2000,2600,Balance,Balance
51100,Librarians,Bibliothécaires,10400,200,2600,600,3400,5800,400,-2100,4100,Balance,Balance
51101,Conservators and curators,Restaurateurs/restauratrices et conservateurs/conservatrices,3000,400,900,200,1400,1200,200,-100,1300,Balance,Balance
51102,Archivists,Archivistes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51110,Editors,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles",14000,1200,3400,1000,5600,5600,1500,-1300,5800,Balance,Balance
51111,Authors and writers (except technical),"Auteurs/auteures, écrivains/écrivaines et rédacteurs/rédactrices (sauf techniques)",27200,2900,5800,2100,10800,9700,2600,-1300,11000,Balance,Balance
51112,Technical writers,Rédacteurs/rédactrices techniques,8000,700,1100,500,2300,3000,1100,-2000,2100,Moderate signs of Surplus,Balance
51113,Journalists,Journalistes,10900,1000,1700,700,3500,3900,700,-700,4000,Balance,Balance
51114,"Translators, terminologists and interpreters","Traducteurs/traductrices, terminologues et interprètes",24500,3000,5400,1900,10300,6600,3500,100,10200,Balance,Balance
51120,"Producers, directors, choreographers and related occupations","Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé",37600,5500,7400,2400,15300,13200,2600,-600,15200,Moderate signs of Surplus,Moderate risk of Surplus
51121,"Conductors, composers and arrangers","Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses",3500,500,1300,300,2200,700,300,1300,2300,Balance,Balance
51122,Musicians and singers,Musiciens/musiciennes et chanteurs/chanteuses,29700,3400,11400,2300,17100,5200,2700,10300,18100,Balance,Balance
52100,Library and public archive technicians,Techniciens/techniciennes dans les bibliothèques et les services d'archives publiques,7200,200,2300,500,3000,1600,100,900,2600,Moderate signs of Surplus,Moderate risk of Surplus
52110,Film and video camera operators,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo,7600,900,1100,500,2500,2500,600,-100,3100,Balance,Balance
52111,Graphic arts technicians,Techniciens/techniciennes en graphisme,14800,3000,900,800,4700,4000,2700,-2200,4500,Balance,Balance
52112,Broadcast technicians,Techniciens/techniciennes en radiotélédiffusion,1500,0,400,100,500,700,100,0,700,Balance,Balance
52113,Audio and video recording technicians,Techniciens/techniciennes en enregistrement audio et vidéo,13100,1000,1200,800,3000,4400,1300,-3000,2700,Balance,Balance
52114,Announcers and other broadcasters,Annonceurs/annonceuses et autres communicateurs/communicatrices,3700,-300,1400,300,1400,2100,300,-300,2100,Balance,Moderate risk of Surplus
52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts","Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",14700,1500,1400,800,3700,8300,2500,-6100,4800,Moderate signs of Surplus,Moderate risk of Surplus
52120,Graphic designers and illustrators,Designers graphiques et illustrateurs/illustratrices,93200,12300,11500,4800,28500,46700,19800,-22800,43700,Moderate signs of Surplus,Strong risk of Surplus
52121,Interior designers and interior decorators,Designers d'intérieur et décorateurs/décoratrices d'intérieur,32900,3200,6700,1900,11800,10900,3900,-900,13800,Balance,Balance
53100,"Registrars, restorers, interpreters and other occupations related to museum and art galleries","Registraires, restaurateurs/restauratrices, interprètes et autres travailleurs/travailleuses dans les domaines apparentés des musées et des galeries d'art",9400,1500,1300,500,3300,4500,400,200,5100,Balance,Moderate risk of Surplus
53110,Photographers,Photographes,22400,2300,2500,1200,6000,6300,2900,-2900,6400,Balance,Balance
53111,"Motion pictures, broadcasting, photography and performing arts assistants and operators","Assistants/assistantes et opérateurs/opératrices du domaine du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",7700,600,1000,500,2100,4500,1500,-3900,2000,Strong signs of Surplus,Strong risk of Surplus
53120,Dancers,Danseurs/danseuses,13600,2700,1100,500,4300,5900,800,-1500,5200,Balance,Balance
53121,"Actors, comedians and circus performers","Acteurs/actrices, comédiens/comédiennes et artistes de cirque",14900,2400,3400,1100,6900,6000,1000,300,7300,Balance,Balance
53122,"Painters, sculptors and other visual artists","Peintres, sculpteurs/sculpteures et autres artistes des arts visuels",17100,1400,7300,1500,10300,3900,1600,4700,10200,Balance,Balance
53123,"Theatre, fashion, exhibit and other creative designers","Ensembliers/ensemblières de théâtre, dessinateurs/dessinatrices de mode, concepteurs/conceptrices d'expositions et autres concepteurs/conceptrices artistiques",9600,1000,2300,600,3900,5000,1500,-3000,3600,Balance,Balance
53124,Artisans and craftspersons,Artisans/artisanes,8900,1400,2500,600,4500,1400,800,2300,4500,Balance,Balance
53125,"Patternmakers - textile, leather and fur products",Patronniers/patronnières de produits textiles et d'articles en cuir et en fourrure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
53200,Athletes,Athlètes,2700,500,0,100,600,1500,100,100,1800,Balance,Strong risk of Surplus
53201,Coaches,Entraîneurs/entraîneuses,13300,1700,1900,700,4300,3000,900,1300,5200,Balance,Balance
53202,Sports officials and referees,Arbitres et officiels/officielles de sports,6200,1100,100,100,1300,1400,100,600,2100,Balance,Balance
54100,"Program leaders and instructors in recreation, sport and fitness","Animateurs/animatrices et responsables de programmes de sports, de loisirs et de conditionnement physique",149300,27800,12100,5300,45300,59000,6600,-14300,51200,Balance,Balance
55109,Other performers,Autres artistes de spectacle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60010,Corporate sales managers,Directeurs/directrices des ventes corporatives,28300,2500,4800,1800,9200,1300,3600,4900,9900,Balance,Balance
60020,Retail and wholesale trade managers,Directeurs/directrices - commerce de détail et de gros,355000,8200,123300,25200,156600,9300,34400,121000,164700,Balance,Balance
60030,Restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,110200,8400,18100,6500,33000,3900,21100,6900,31900,Balance,Balance
60031,Accommodation service managers,Directeurs/directrices des services d'hébergement,51100,7700,21400,5100,34100,1200,7100,25000,33300,Balance,Balance
60040,Managers in customer and personal services,Directeurs/directrices du service à la clientèle et des services personnels,13400,200,5100,900,6200,400,1500,4200,6100,Balance,Balance
62010,Retail sales supervisors,Superviseurs/superviseures des ventes - commerce de détail,239100,9000,42700,12500,64200,73200,39800,-49400,63700,Balance,Balance
62020,Food service supervisors,Superviseurs/superviseures des services alimentaires,75800,10100,6700,3400,20200,36400,16300,-33100,19500,Moderate signs of Shortage,Balance
62021,Executive housekeepers,Gouvernants principaux/gouvernantes principales,1900,100,500,100,800,400,700,-200,900,Balance,Balance
62022,"Accommodation, travel, tourism and related services supervisors","Superviseurs/superviseures des services d'hébergement, de voyages, de tourisme et des services connexes",16900,2600,2800,900,6200,5500,2300,-300,7500,Balance,Balance
62023,Customer and information services supervisors,Superviseurs/superviseures des services d'information et des services à la clientèle,29000,3400,6000,1600,11100,9800,5400,-3900,11400,Balance,Balance
62024,Cleaning supervisors,Surveillants/surveillantes des services de nettoyage,39700,6200,15900,2800,24900,4200,5200,16200,25600,Balance,Balance
62029,Other services supervisors,Surveillants/surveillantes des autres services,27000,4400,4800,1500,10700,9100,3000,-200,11800,Balance,Balance
62100,Technical sales specialists - wholesale trade,Spécialistes des ventes techniques - commerce de gros,133000,12500,33800,9000,55300,32900,14400,6800,54200,Balance,Balance
62101,Retail and wholesale buyers,Acheteurs/acheteuses des commerces de détail et de gros,22900,600,6700,1500,8800,8400,3200,-2700,8900,Balance,Balance
62200,Chefs,Chefs,64500,9400,9800,3900,23000,13300,15900,-5200,24100,Balance,Balance
62201,Funeral directors and embalmers,Directeurs/directrices de funérailles et embaumeurs/embaumeuses,8900,1200,2400,700,4300,1400,100,1500,3000,Balance,Balance
62202,"Jewellers, jewellery and watch repairers and related occupations","Bijoutiers/bijoutières, réparateurs/réparatrices de bijoux, horlogers-rhabilleurs/horlogères-rhabilleuses et personnel assimilé",1900,100,700,200,1000,600,100,-100,700,Balance,Balance
63100,Insurance agents and brokers,Agents/agentes et courtiers/courtières d'assurance,86800,7800,20500,5600,33900,23000,11800,-1100,33700,Moderate signs of Shortage,Moderate risk of Shortage
63101,Real estate agents and salespersons,Agents/agentes et vendeurs/vendeuses en immobilier,106800,11100,36000,8400,55400,19700,6300,28100,54000,Balance,Balance
63102,Financial sales representatives,Représentants/représentantes des ventes financières,61300,9500,9300,3600,22300,28100,17200,-22700,22600,Balance,Balance
63200,Cooks,Cuisiniers/cuisinières,171700,8500,24500,8100,41100,62300,30400,-52400,40200,Moderate signs of Shortage,Moderate risk of Shortage
63201,Butchers - retail and wholesale,Bouchers/bouchères - commerce de gros et de détail,14400,600,3200,900,4700,2100,1500,900,4500,Moderate signs of Shortage,Moderate risk of Shortage
63202,Bakers,Boulangers-pâtissiers/boulangères-pâtissières,32500,700,6700,1800,9200,7700,6100,-5100,8700,Balance,Balance
63210,Hairstylists and barbers,Coiffeurs/coiffeuses et barbiers,90500,9100,20900,6000,36100,21000,6700,8500,36200,Balance,Balance
63211,"Estheticians, electrologists and related occupations","Esthéticiens/esthéticiennes, électrolystes et personnel assimilé",71300,15400,5200,3700,24300,24000,10400,-9500,24900,Balance,Balance
63220,Shoe repairers and shoemakers,Cordonniers/cordonnières et fabricants/fabricantes de chaussures,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63221,Upholsterers,Tapissiers-garnisseurs/tapissières-garnisseuses,4000,100,2000,400,2500,100,500,1300,1900,Balance,Balance
64100,Retail salespersons and visual merchandisers,Vendeurs/vendeuses et décorateurs-étalagistes/décoratrices-étalagistes en commerce de détail,579600,20400,91900,28600,140900,188600,58200,-119800,127100,Balance,Balance
64101,Sales and account representatives - wholesale trade (non-technical),Représentants/représentantes des ventes et des comptes - commerce de gros (non-technique),240900,21900,59000,16000,96900,50800,20500,24000,95300,Balance,Balance
64200,"Tailors, dressmakers, furriers and milliners","Tailleurs/tailleuses, couturiers/couturières, fourreurs/fourreuses et modistes",12600,200,5800,1100,7000,400,1700,4900,7000,Balance,Balance
64201,"Image, social and other personal consultants","Conseillers/conseillères imagistes, conseillers mondains/conseillères mondaines et autres conseillers/conseillères en soins personnalisés",1600,100,500,100,800,600,100,-100,600,Balance,Balance
64300,Maîtres d'hôtel and hosts/hostesses,Maîtres d'hôtel et hôtes/hôtesses,54500,5600,2000,1600,9200,21400,2900,-15200,9100,Balance,Balance
64301,Bartenders,Barmans/barmaids,29400,-100,2600,1300,3800,11600,1600,-9200,4000,Balance,Balance
64310,Travel counsellors,Conseillers/conseillères en voyages,14600,700,4000,1000,5700,3500,1100,1300,6000,Balance,Balance
64311,Pursers and flight attendants,Commissaires et agents/agentes de bord,14600,1100,2400,800,4300,4800,600,-200,5100,Balance,Balance
64312,Airline ticket and service agents,Agents/agentes à la billetterie et aux services aériens,15900,1300,2600,900,4800,4700,1700,-1600,4900,Balance,Balance
64313,"Ground and water transport ticket agents, cargo service representatives and related clerks","Agents/agentes à la billetterie, représentants/représentantes du service en matière de fret et personnel assimilé dans le transport routier et maritime",3600,200,700,200,1200,1400,300,0,1600,Balance,Balance
64314,Hotel front desk clerks,Réceptionnistes d'hôtel,19100,3200,3900,1100,8200,8500,4500,-4200,8800,Balance,Balance
64320,Tour and travel guides,Guides touristiques et guides itinérants/guides itinérantes,3800,300,800,300,1300,1200,100,100,1500,Balance,Balance
64321,Casino workers,Travailleurs/travailleuses dans les casinos,7600,-100,1300,500,1700,1600,800,-800,1700,Balance,Balance
64322,Outdoor sport and recreational guides,Guides d'activités récréatives et sportives de plein air,1700,200,600,100,900,1000,100,0,1000,Moderate signs of Surplus,Balance
64400,Customer services representatives - financial institutions,Représentants/représentantes au service à la clientèle - institutions financières,71500,7300,13000,3600,24000,32500,16700,-24500,24800,Balance,Balance
64401,Postal services representatives,Représentants/représentantes des services postaux,10300,500,5000,700,6200,1400,600,4200,6200,Moderate signs of Shortage,Moderate risk of Shortage
64409,Other customer and information services representatives,Autres préposés/préposées aux services d'information et aux services à la clientèle,181700,16400,39400,10200,66100,60600,34700,-26600,68700,Balance,Balance
64410,Security guards and related security service occupations,Agents/agentes de sécurité et personnel assimilé des services de sécurité,104200,11500,23000,7200,41600,40700,15200,-15100,40800,Balance,Balance
65100,Cashiers,Caissiers/caissières,349600,13700,46200,13400,73400,94000,32100,-55400,70600,Balance,Balance
65101,Service station attendants,Préposés/préposées de stations-service,12000,-2800,1400,300,-1000,2700,300,-3500,-500,Balance,Balance
65102,"Store shelf stockers, clerks and order fillers","Garnisseurs/garnisseuses de tablettes, commis et préposés/préposées aux commandes dans les magasins",262900,26300,39800,11800,78000,78200,28300,-29000,77500,Balance,Balance
65109,Other sales related occupations,Autre personnel assimilé des ventes,16200,600,5800,1200,7600,4300,2500,300,7100,Balance,Balance
65200,Food and beverage servers,Serveurs/serveuses d'aliments et de boissons,175800,6800,11100,6100,24000,71300,10800,-56700,25400,Balance,Balance
65201,"Food counter attendants, kitchen helpers and related support occupations","Serveurs/serveuses au comptoir, aides de cuisine et personnel de soutien assimilé",383000,39600,35200,13600,88400,115800,56200,-84900,87100,Balance,Balance
65202,Meat cutters and fishmongers – retail and wholesale,Coupeurs/coupeuses de viande et poissonniers/poissonnières – commerce de gros et de détail,5100,-900,1700,300,1000,300,1000,-500,700,Balance,Balance
65210,"Support occupations in accommodation, travel and facilities set-up services","Personnel de soutien en services d'hébergement, de voyage et en services de montage d'installation",3600,100,200,200,600,800,200,0,900,Balance,Balance
65211,"Operators and attendants in amusement, recreation and sport","Opérateurs/opératrices et préposés/préposées aux sports, aux loisirs et dans les parcs d'attractions",65200,10900,7700,3000,21600,25800,1700,-2700,24900,Balance,Balance
65220,Pet groomers and animal care workers,Soigneurs/soigneuses d'animaux et travailleurs/travailleuses en soins des animaux,35500,6600,5000,1900,13500,13700,1400,-500,14600,Balance,Balance
65229,Other support occupations in personal services,Autres professions de soutien dans les services personnels,3800,300,900,300,1500,1500,400,-300,1600,Balance,Balance
65310,Light duty cleaners,Préposés/préposées à l'entretien ménager et au nettoyage - travaux légers,228000,37000,70100,15800,122900,33500,47700,39500,120700,Balance,Balance
65311,Specialized cleaners,Nettoyeurs spécialisés/nettoyeuses spécialisées,41900,4000,6500,2100,12600,14400,5400,-7500,12300,Balance,Balance
65312,"Janitors, caretakers and heavy-duty cleaners",Concierges et nettoyeurs/nettoyeuses – gros travaux,107000,3200,40000,8000,51200,14500,14700,21200,50400,Balance,Balance
65320,"Dry cleaning, laundry and related occupations",Personnel de blanchisseries et d'établissements de nettoyage à sec et personnel assimilé,13900,700,5200,1100,7000,1500,2400,2400,6300,Balance,Balance
65329,Other service support occupations,Autre personnel de soutien en service,24500,700,5700,1700,8200,7700,2400,-1500,8600,Balance,Balance
70010,Construction managers,Directeurs/directrices de la construction,108900,15300,22100,7200,44600,4200,11700,12000,27900,Balance,Moderate risk of Shortage
70011,Home building and renovation managers,Gestionnaires en construction et rénovation domiciliaire,146000,20600,41800,10000,72400,2600,15200,17900,35700,Balance,Moderate risk of Shortage
70012,Facility operation and maintenance managers,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles,35300,4000,10200,2400,16500,1000,3000,13000,16900,Balance,Balance
70020,Managers in transportation,Directeurs/directrices des transports,37700,5300,8200,2400,15800,1100,3500,12100,16700,Balance,Balance
70021,Postal and courier services managers,Directeurs/directrices des services postaux et de messageries,3300,500,700,200,1400,100,300,1000,1400,Balance,Balance
